leaf_path,perimeter_px,height_px,width_px,area_contour_max_px,area_contour_px,area_px,actual_area
/content/dataset/IMG_20250711_162041.jpg,3586,1319,791,1043329,610748,610825,10.1
/content/dataset/IMG_20250711_163355.jpg,3426,1225,493,603925,373142,373253,6.17
/content/dataset/IMG_20250711_161624.jpg,4061,1476,744,1098144,648268,648426,10.72
/content/dataset/IMG_20250711_154910.jpg,2424,968,406,393008,250893,250961,4.15
/content/dataset/IMG_20250711_161040.jpg,3986,1592,720,1146240,705106,705308,11.66
/content/dataset/IMG_20250711_163745.jpg,4424,1660,669,1110540,711117,711186,11.76
/content/dataset/IMG_20250711_162901.jpg,5134,2048,1018,2084864,1271440,1271484,21.03
/content/dataset/IMG_20250711_161527.jpg,2725,975,562,547950,357423,357602,5.91
/content/dataset/IMG_20250711_163103.jpg,4146,1685,692,1166020,741582,741698,12.27
/content/dataset/IMG_20250711_160432.jpg,3074,1240,541,670840,423384,423540,7.0
/content/dataset/IMG_20250711_161102.jpg,2929,1135,465,527775,306359,306576,5.07
/content/dataset/IMG_20250711_163847.jpg,2243,835,378,315630,200540,200622,3.32
/content/dataset/IMG_20250711_160052.jpg,3308,1266,606,767196,493152,493288,8.16
/content/dataset/IMG_20250711_160542.jpg,4289,1649,831,1370319,882534,882638,14.6
/content/dataset/IMG_20250711_160334.jpg,3069,1230,571,702330,427437,427576,7.07
/content/dataset/IMG_20250711_162000.jpg,2475,895,488,436760,283630,283797,4.69
/content/dataset/IMG_20250711_160209.jpg,4899,1880,894,1680720,1036378,1036519,17.14
/content/dataset/IMG_20250711_163707.jpg,3450,1445,488,705160,463112,463184,7.66
/content/dataset/IMG_20250711_162912.jpg,3921,1527,664,1013928,665744,665868,11.01
/content/dataset/IMG_20250711_155413.jpg,3151,1189,623,740747,464137,464216,7.68
/content/dataset/IMG_20250711_155821.jpg,1966,812,322,261464,151236,151312,2.5
/content/dataset/IMG_20250711_155009.jpg,5167,2176,756,1645056,1074556,1074600,17.77
/content/dataset/IMG_20250711_154850.jpg,2131,828,374,309672,186656,186726,3.09
/content/dataset/IMG_20250711_155129.jpg,2861,1111,502,557722,344368,344422,5.7
/content/dataset/IMG_20250711_162303.jpg,3207,1293,476,615468,376200,376332,6.22
/content/dataset/IMG_20250711_155732.jpg,3991,1565,820,1283300,803482,803546,13.29
/content/dataset/IMG_20250711_162057.jpg,4225,1692,760,1285920,779482,779598,12.89
/content/dataset/IMG_20250711_161338.jpg,2956,1114,605,673970,423758,423992,7.01
/content/dataset/IMG_20250711_163202.jpg,5224,2065,656,1354640,823786,823904,13.63
/content/dataset/IMG_20250711_154655.jpg,3528,1451,585,848835,529254,529322,8.75
/content/dataset/IMG_20250711_161023.jpg,2968,1207,494,596258,349304,349504,5.78
/content/dataset/IMG_20250711_155547.jpg,4384,1800,766,1378800,840814,840891,13.91
/content/dataset/IMG_20250711_155647.jpg,3062,1274,478,608972,382753,382829,6.33
/content/dataset/IMG_20250711_161734.jpg,3231,1216,493,599488,389466,389636,6.44
/content/dataset/IMG_20250711_163933.jpg,4561,1691,836,1413676,831672,831748,13.76
/content/dataset/IMG_20250711_154825.jpg,3362,1340,612,820080,540113,540197,8.93
/content/dataset/IMG_20250711_155609.jpg,4245,1622,784,1271648,823482,823562,13.62
/content/dataset/IMG_20250711_161716.jpg,4166,1565,724,1133060,683964,684118,11.31
/content/dataset/IMG_20250711_160651.jpg,2643,1002,518,519036,311172,311294,5.15
/content/dataset/IMG_20250711_161441.jpg,5111,2016,935,1884960,1185864,1186020,19.61
/content/dataset/IMG_20250711_163326.jpg,3853,1521,551,838071,542606,542716,8.98
/content/dataset/IMG_20250711_162358.jpg,2466,999,403,402597,226714,226859,3.75
/content/dataset/IMG_20250711_160511.jpg,2558,1060,415,439900,277111,277269,4.59
/content/dataset/IMG_20250711_154930.jpg,4336,1711,719,1230209,763674,763743,12.63
/content/dataset/IMG_20250711_161412.jpg,5095,1931,1114,2151134,1372867,1373005,22.71
/content/dataset/IMG_20250711_162552.jpg,4284,1698,801,1360098,828869,828930,13.71
/content/dataset/IMG_20250711_154806.jpg,4318,1701,801,1362501,843794,843860,13.96
/content/dataset/IMG_20250711_163040.jpg,3742,1480,658,973840,588488,588629,9.73
/content/dataset/IMG_20250711_161940.jpg,3756,1410,636,896760,533747,533850,8.83
/content/dataset/IMG_20250711_160919.jpg,6167,2496,1073,2678208,1544205,1544334,25.54
/content/dataset/IMG_20250711_160608.jpg,3750,1377,743,1023111,638728,638796,10.56
/content/dataset/IMG_20250711_162841.jpg,5086,1970,960,1891200,1186771,1186830,19.63
/content/dataset/IMG_20250711_162340.jpg,3150,1228,494,606632,326114,326252,5.4
/content/dataset/IMG_20250711_155954.jpg,4089,1531,821,1256951,785148,785266,12.99
/content/dataset/IMG_20250711_155442.jpg,2066,798,370,295260,182193,182258,3.01
/content/dataset/IMG_20250711_154610.jpg,3757,1480,648,959040,619964,620015,10.25
/content/dataset/IMG_20250711_155513.jpg,2020,747,419,312993,194382,194462,3.22
